University,Department,Level,Course Code,Course Name
"Lagos State University","Mathematics","200","MTH204","Linear Algebra I"
"Lagos State University","Mathematics","200","MTH207","Real Analysis I"
"Lagos State University","Mathematics","200","MTH209","Intro to Numerical Analysis"
"Lagos State University","Mathematics","200","MTH299","Industrial Training I (12 Weeks)"
"Lagos State University","Mathematics","200","PHY201","General Physics III"
"Lagos State University","Mathematics","200","CSC202","Computer Programming II"
"Lagos State University","Mathematics","200","GST222","Peace & Conflict Resolution"
"Lagos State University","Mathematics","200","GST223","Intro to Entrepreneurship"
"Lagos State University","Mathematics","200","GST224","Leadership Skills"
"Lagos State University","Mathematics","200","GST225","Yoruba Grammar & Communication"
"Lagos State University","Mathematics","200","GST226","Land Use & General Agriculture"
"Lagos State University","Mathematics","200","ENT221","Intro to Entrepreneurship"
"Lagos State University","Mathematics","200","MTH202","Elementary Differential Equations"
"Lagos State University","Mathematics","200","MTH205","Linear Algebra II"
"Lagos State University","Mathematics","200","MTH210","Vector Analysis"
"Lagos State University","Mathematics","200","PHY202","Intro to Electric Circuits & Electronics"
"Lagos State University","Mathematics","300","GST311","Entrepreneurship"
"Lagos State University","Mathematics","300","MTH301","Metric Space Topology"
"Lagos State University","Mathematics","300","MTH303","Vector & Tensor Analysis"
"Lagos State University","Mathematics","300","MTH304","Complex Analysis I"
"Lagos State University","Mathematics","300","MTH307","Real Analysis II"
"Lagos State University","Mathematics","300","MTH311","Theory of Modules"
"Lagos State University","Mathematics","300","MTH399","Industrial Attachment II (12 Weeks)"
"Lagos State University","Mathematics","300","MTH309","Discrete Mathematics"
"Lagos State University","Mathematics","300","MTH313","Geometry"
"Lagos State University","Mathematics","300","MTH319","Numerical Analysis I"
"Lagos State University","Mathematics","300","STA311","Probability III"
"Lagos State University","Mathematics","300","ENT321","Entrepreneurship & Business Management"
"Lagos State University","Mathematics","300","MTH300","Abstract Algebra I"
"Lagos State University","Mathematics","300","MTH302","Ordinary Differential Equations"
"Lagos State University","Mathematics","300","MTH305","Complex Analysis II"
"Lagos State University","Mathematics","300","MTH306","Abstract Algebra II"
"Lagos State University","Mathematics","300","MTH308","Intro to Mathematical Modelling"
"Lagos State University","Mathematics","300","MTH310","Mathematical Methods II"
"Lagos State University","Mathematics","300","MTH320","Computational Techniques in Mathematics"
"Lagos State University","Mathematics","300","MTH312","Optimization Theory"
"Lagos State University","Mathematics","300","MTH314","Analytical Dynamics I"
"Lagos State University","Mathematics","300","MTH316","Intro to Operations Research"
"Lagos State University","Mathematics","300","STA312","Distribution Theory I"
"Lagos State University","Mathematics","400","MTH401","Theory of Ordinary Differential Equations"
"Lagos State University","Mathematics","400","MTH403","Functional Analysis"
"Lagos State University","Mathematics","400","MTH405","General Topology"
"Lagos State University","Mathematics","400","MTH419","Complex Analysis"
"Lagos State University","Mathematics","400","MTH407","Mathematical Methods III"
"Lagos State University","Mathematics","400","MTH409","General Relativity"
"Lagos State University","Mathematics","400","MTH411","Analytical Dynamics II"
"Lagos State University","Mathematics","400","ENT421","Investment Marketing & Management"
"Lagos State University","Mathematics","400","MTH402","Theory of Partial Differential Equations"
"Lagos State University","Mathematics","400","MTH404","Project"
"Lagos State University","Mathematics","400","MTH406","Lebesgue Measure & Integration"
"Lagos State University","Mathematics","400","MTH418","Advanced Algebra"
"Lagos State University","Mathematics","400","MTH408","Quantum Mechanics I"
"Lagos State University","Mathematics","400","MTH410","Electromagnetism"
"Lagos State University","Botany","100","GST111","Communication in English I"
"Lagos State University","Botany","100","GST112","Logic, Philosophy & Human Existence"
"Lagos State University","Botany","100","GST113","Nigerian Peoples & Culture"
"Lagos State University","Botany","100","GST114","Valuing the Teaching Profession I"
"Lagos State University","Botany","100","GST115","Lagos & Its Environs"
"Lagos State University","Botany","100","GST116","Intro to Yoruba Language & Culture"
"Lagos State University","Botany","100","BIO101","General Biology I"
"Lagos State University","Botany","100","CHM101","General Chemistry I"
"Lagos State University","Botany","100","CSC101","Intro to Computer Science"
"Lagos State University","Botany","100","MTH101","Elementary Mathematics I"
"Lagos State University","Botany","100","PHY101","General Physics I"
"Lagos State University","Botany","100","PHY107","General Practical Physics I"
"Lagos State University","Botany","100","GST121","Use of Library Skills & ICT"
"Lagos State University","Botany","100","GST122","Communication in English II"
"Lagos State University","Botany","100","GST125","Contemporary Health Issues"
"Lagos State University","Botany","100","GST126","Communication in Arabic"
"Lagos State University","Botany","100","BIO102","General Biology II"
"Lagos State University","Botany","100","BOT101","Diversity of Plants"
"Lagos State University","Botany","100","BOT103","Basic Botanical Nomenclature"
"Lagos State University","Botany","100","CHM102","General Chemistry II"
"Lagos State University","Botany","100","MTH102","Elementary Mathematics II"
"Lagos State University","Botany","100","PHY102","General Physics II"
"Lagos State University","Botany","100","PHY108","General Practical Physics II"
"Lagos State University","Botany","200","GST211","Environment & Sustainable Development"
"Lagos State University","Botany","200","GST212","Application of Computer"
"Lagos State University","Botany","200","GST214","Valuing the Teaching Profession II"
"Lagos State University","Botany","200","BOT201","Seedless Plants (Cryptogams)"
"Lagos State University","Botany","200","BOT203","Plant Morphology"
"Lagos State University","Botany","200","BOT205","Introductory Plant Physiology"
"Lagos State University","Botany","200","BOT207","General Ecology"
"Lagos State University","Botany","200","STA211","Statistics for Biological Sciences"
"Lagos State University","Botany","200","GST222","Peace & Conflict Resolution"
"Lagos State University","Botany","200","GST223","Intro to Entrepreneurship"
"Lagos State University","Botany","200","GST224","Leadership Skills"
"Lagos State University","Botany","200","GST225","Yoruba Grammar & Communication"
"Lagos State University","Botany","200","GST226","Land Use & General Agriculture"
"Lagos State University","Botany","200","BOT202","Seed Plants (Spermatophyta)"
"Lagos State University","Botany","200","BOT204","Plant Anatomy"
"Lagos State University","Botany","200","BOT206","Plant Taxonomy"
"Lagos State University","Botany","200","BOT208","Biological Techniques"
"Lagos State University","Botany","300","GST311","Entrepreneurship"
"Lagos State University","Botany","300","BOT301","Plant Ecology & Field Course I"
"Lagos State University","Botany","300","BOT303","Algae (Phycology)"
"Lagos State University","Botany","300","BOT305","Mycology I"
"Lagos State University","Botany","300","BOT307","Plant Physiology I"
"Lagos State University","Botany","300","BOT309","Plant Taxonomy I"
"Lagos State University","Botany","300","BOT311","Biostatistics"
"Lagos State University","Botany","300","ENT321","Entrepreneurship & Business Management"
"Lagos State University","Botany","300","BOT302","Bryophyta & Pteridophyta"
"Lagos State University","Botany","300","BOT304","Gymnosperms"
"Lagos State University","Botany","300","BOT306","Plant Cytogenetics"
"Lagos State University","Botany","300","BOT308","Plant Pathology I"
"Lagos State University","Botany","300","BOT310","Economic Botany"
"Lagos State University","Botany","300","BOT399","SIWES / Industrial Training (12 weeks)"
"Lagos State University","Botany","400","BOT401","Plant Breeding"
"Lagos State University","Botany","400","BOT403","Population Ecology"
"Lagos State University","Botany","400","BOT405","Mycology II"
"Lagos State University","Botany","400","BOT407","Limnology"
"Lagos State University","Botany","400","BOT409","Evolution"
"Lagos State University","Botany","400","BOT411","Plant Pathology II"
"Lagos State University","Botany","400","BOT413","Seminar"
"Lagos State University","Botany","400","ENT421","Investment Marketing & Management"
"Lagos State University","Botany","400","BOT402","Soil Science"
"Lagos State University","Botany","400","BOT404","Development of Natural Resources & Afforestation"
"Lagos State University","Botany","400","BOT406","Comparative Plant Anatomy"
"Lagos State University","Botany","400","BOT408","Plant Physiology II / Tissue Culture"
"Lagos State University","Botany","400","BOT410","Molecular Biology / Biotechnology"
"Lagos State University","Botany","400","BOT412","Research Project"
"Lagos State University","Chemistry","100","GST111","Communication in English I"
"Lagos State University","Chemistry","100","GST112","Logic, Philosophy & Human Existence"
"Lagos State University","Chemistry","100","GST113","Nigerian Peoples & Culture"
"Lagos State University","Chemistry","100","GST114","Valuing the Teaching Profession I"
"Lagos State University","Chemistry","100","GST115","Lagos & Its Environs"
"Lagos State University","Chemistry","100","GST116","Intro to Yoruba Language & Culture"
"Lagos State University","Chemistry","100","CHM101","General Chemistry I"
"Lagos State University","Chemistry","100","CHM103","General Chemistry Practical I"
"Lagos State University","Chemistry","100","BIO101","General Biology I"
"Lagos State University","Chemistry","100","MTH101","Elementary Mathematics I"
"Lagos State University","Chemistry","100","PHY101","General Physics I"
"Lagos State University","Chemistry","100","PHY107","General Practical Physics I"
"Lagos State University","Chemistry","100","GST121","Use of Library Skills & ICT"
"Lagos State University","Chemistry","100","GST122","Communication in English II"
"Lagos State University","Chemistry","100","GST125","Contemporary Health Issues"
"Lagos State University","Chemistry","100","GST126","Communication in Arabic"
"Lagos State University","Chemistry","100","CHM102","General Chemistry II"
"Lagos State University","Chemistry","100","CHM104","General Chemistry Practical II"
"Lagos State University","Chemistry","100","BIO102","General Biology II"
"Lagos State University","Chemistry","100","MTH102","Elementary Mathematics II"
"Lagos State University","Chemistry","100","PHY102","General Physics II"
"Lagos State University","Chemistry","100","PHY108","General Practical Physics II"
"Lagos State University","Chemistry","200","GST211","Environment & Sustainable Development"
"Lagos State University","Chemistry","200","GST212","Application of Computer"
"Lagos State University","Chemistry","200","GST214","Valuing the Teaching Profession II"
"Lagos State University","Chemistry","200","CHM201","Physical Chemistry I"
"Lagos State University","Chemistry","200","CHM203","Inorganic Chemistry I"
"Lagos State University","Chemistry","200","CHM205","Organic Chemistry I"
"Lagos State University","Chemistry","200","CHM207","Analytical Chemistry I"
"Lagos State University","Chemistry","200","CHM209","Chemistry Practical I"
"Lagos State University","Chemistry","200","GST222","Peace & Conflict Resolution"
"Lagos State University","Chemistry","200","GST223","Intro to Entrepreneurship"
"Lagos State University","Chemistry","200","GST224","Leadership Skills"
"Lagos State University","Chemistry","200","GST225","Yoruba Grammar & Communication"
"Lagos State University","Chemistry","200","GST226","Land Use & General Agriculture"
"Lagos State University","Chemistry","200","CHM202","Physical Chemistry II"
"Lagos State University","Chemistry","200","CHM204","Inorganic Chemistry II"
"Lagos State University","Chemistry","200","CHM206","Organic Chemistry II"
"Lagos State University","Chemistry","200","CHM208","Analytical Chemistry II"
"Lagos State University","Chemistry","200","CHM210","Chemistry Practical II"
"Lagos State University","Chemistry","300","GST311","Entrepreneurship"
"Lagos State University","Chemistry","300","CHM301","Physical Chemistry III"
"Lagos State University","Chemistry","300","CHM303","Inorganic Chemistry III"
"Lagos State University","Chemistry","300","CHM305","Organic Chemistry III"
"Lagos State University","Chemistry","300","CHM307","Analytical Chemistry III"
"Lagos State University","Chemistry","300","CHM309","Instrumental Methods of Analysis"
"Lagos State University","Chemistry","300","CHM311","Chemistry Practical III"
"Lagos State University","Chemistry","300","ENT321","Entrepreneurship & Business Management"
"Lagos State University","Chemistry","300","CHM302","Chemical Thermodynamics"
"Lagos State University","Chemistry","300","CHM304","Coordination Chemistry"
"Lagos State University","Chemistry","300","CHM306","Organic Reaction Mechanisms"
"Lagos State University","Chemistry","300","CHM308","Electrochemistry"
"Lagos State University","Chemistry","300","CHM310","Industrial Chemistry"
"Lagos State University","Chemistry","300","CHM399","SIWES / Industrial Training (12 weeks)"
"Lagos State University","Chemistry","400","CHM401","Advanced Physical Chemistry"
"Lagos State University","Chemistry","400","CHM403","Advanced Inorganic Chemistry"
"Lagos State University","Chemistry","400","CHM405","Advanced Organic Chemistry"
"Lagos State University","Chemistry","400","CHM407","Advanced Analytical Chemistry"
"Lagos State University","Chemistry","400","CHM409","Environmental Chemistry"
"Lagos State University","Chemistry","400","CHM411","Seminar"
"Lagos State University","Chemistry","400","ENT421","Investment Marketing & Management"
"Lagos State University","Chemistry","400","CHM402","Chemical Kinetics"
"Lagos State University","Chemistry","400","CHM404","Research Project"
"Lagos State University","Chemistry","400","CHM406","Polymer Chemistry"
"Lagos State University","Chemistry","400","CHM408","Medicinal Chemistry"
"Lagos State University","Chemistry","400","CHM410","Spectroscopy"
"Lagos State University","Fisheries","100","GST111","Communication in English I"
"Lagos State University","Fisheries","100","GST112","Logic, Philosophy & Human Existence"
"Lagos State University","Fisheries","100","GST113","Nigerian Peoples & Culture"
"Lagos State University","Fisheries","100","GST114","Valuing the Teaching Profession I"
"Lagos State University","Fisheries","100","GST115","Lagos & Its Environs"
"Lagos State University","Fisheries","100","GST116","Intro to Yoruba Language & Culture"
